session_id	task_id	participant_id	source_file	et_available	sample_rate_hz	duration_s	gaze_valid_frac	gaze_out_of_bounds_frac	gaze_x_mean	gaze_y_mean	gaze_x_std	gaze_y_std	gaze_dispersion	gaze_velocity_mean	gaze_velocity_p95	pupil_mean	pupil_std	pupil_slope_per_s	pupil_missing_frac	pupil_range	pupil_velocity_mean	pupil_left_mean	pupil_right_mean	pupil_left_std	pupil_right_std	pupil_left_missing_frac	pupil_right_missing_frac	pupil_lr_diff_mean	blink_count_est	blink_rate_per_min	blink_duration_mean_s	blink_detectable	qc_flag	qc_notes	pupil_mean_delta_t0	pupil_mean_z_t0	pupil_left_mean_delta_t0	pupil_left_mean_z_t0	pupil_right_mean_delta_t0	pupil_right_mean_z_t0	gaze_x_mean_delta_t0	gaze_x_mean_z_t0	gaze_y_mean_delta_t0	gaze_y_mean_z_t0
ses-20260312_grp-07_run01	T0	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P1_tobii.tsv.gz	True	49.91016170466452	450.37696800002595	0.9353618933226567	0.005564539142014649	0.5380657233900884	0.5590386664130125	0.11943947599153738	0.20175277421527021	0.21956149052858884	0.6516474667605635	3.1459202341012205	3.0843971749262815	0.3595562199655343	-7.44276292825667e-05	0.06463810667734327	3.469	3.298536843761585	3.0758928941780654	3.0903200154224297	0.3580521012766913	0.405710688198573	0.09911472930290488	0.07696071889318923	0.20569940923200158	196	26.111459589557256	0.09731939795744196	True	ok	ok	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ses-20260312_grp-07_run01	T0	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P2_tobii.tsv.gz	True	49.91016170466452	450.31704699998954	0.6610606869549742	0.03802665230852066	0.5001149347153049	0.7117792435051824	0.13051500013483366	0.20310490532119976	0.14010933214969148	2.6017170137542736	12.881718412777692	2.625559261004173	0.38194027571589995	2.0751622022589166e-05	0.3389393130450258	8.201	5.8596508323573016	2.5582094449047226	2.6885728040540537	0.48966386848838034	0.27244788046742324	0.46298273714184024	0.4732158747108026	0.2875809765797614	0			False	gaze_low_validity;pupil_low_coverage;pupil_left_low_coverage;pupil_right_low_coverage;blink_detection_unreliable	Fewer than 70 % of gaze samples are marked valid; gaze-position and velocity features may be unreliable. | Combined (mean) pupil diameter is missing for more than 30 % of samples; pupil features should be treated with caution. | Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ses-20260312_grp-07_run01	T0	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P3_tobii.tsv.gz	True	49.91016170466452	450.3777199999895	0.9188131144623871	0.0013556696039508085	0.5036839934153191	0.5209932313353346	0.0801727816325494	0.1435503203966992	0.13797856456311153	0.4261193822978661	2.0627595537885477	3.0867375084729347	0.3884679182118122	2.5589137940305627e-05	0.08118688553761289	3.1710000000000003	1.4412511339258534	3.0027435079499574	3.1658650556881467	0.3745950867878567	0.41280624512039377	0.107478090662396	0.10529827839316697	0.1988643512115158	283	37.70168737476711	0.0989075159018879	True	ok	ok	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ses-20260312_grp-07_run01	T0	P4	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T0_run-01_acq-P4_tobii.tsv.gz	True	49.907670930760574	450.0809710000176	0.9217859686609686	0.015067368522721785	0.49752431544888204	0.6776069976336504	0.11600325630088545	0.1768702341285165	0.19262436843654124	0.642728697781092	3.070122477260767	3.2209536147196602	0.3543366722309812	5.90408675746782e-05	0.07821403133903138	8.112	3.8067961612691357	3.352392002285061	3.1444559435764314	0.45989129150766533	0.34795384756083253	0.22075320512820518	0.09112357549857553	0.23340290444379905	160	21.32949539872821	0.14213430000090738	True	ok	ok	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ses-20260312_grp-07_run01	T1	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T1_run-01_acq-P1_tobii.tsv.gz	True	49.91016170466452	684.6419170000008	0.9520060870328642	0.0014140358427346224	0.5528775106821185	0.5745689680612338	0.10526235710660983	0.21427440434762032	0.22281708125346317	0.713272992340113	3.382135314833096	2.9173838185115737	0.29061787767902314	6.301485446286013e-05	0.04799391296713584	5.75	3.2761333332633544	2.919975175168828	2.9135133233252013	0.3067875712179074	0.32141415316381855	0.07696584823388253	0.06429428462731557	0.18317099147947327	176	15.424121336701601	0.10803688636455759	True	ok	ok	-0.16701335641470783	-0.4644985878167178	-0.15591771900923757	-0.4354609802687607	-0.17680669209722844	-0.43579500673812993	0.014811787292030143	0.12401081944699421	0.015530301648221334	0.07697689267782014
ses-20260312_grp-07_run01	T1	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T1_run-01_acq-P2_tobii.tsv.gz	True	49.91016170466452	684.6422010000097	0.4999268385473062	0.12158286015336885	0.4777169876485395	0.7069204413744657	0.2860588724222578	0.3616707308608589	0.23696470816157403	4.902850989688444	28.405479542726464	2.6160087221214074	0.7739120351909848	-9.79112605489007e-05	0.5000731614526939	10.057	12.877793071766314	2.812327989161115	2.5396040521202083	1.4401099785740537	0.28086121569671885	0.7408036053963887	0.6114541570337421	1.0033819045733519	0			False	gaze_low_validity;pupil_low_coverage;pupil_left_low_coverage;pupil_right_low_coverage;blink_detection_unreliable;gaze_out_of_bounds;pupil_velocity_spike	Fewer than 70 % of gaze samples are marked valid; gaze-position and velocity features may be unreliable. | Combined (mean) pupil diameter is missing for more than 30 % of samples; pupil features should be treated with caution. | Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag. | More than 10 % of valid gaze samples fall outside the scene-camera frame [0, 1] in either axis; possible calibration drift or head rotation artefacts. | Mean pupil dilation velocity (computed only between consecutive valid samples) exceeds 10.0 mm/s, suggesting systematic artefactual jumps.	-0.00955053888276547	-0.025005320176994066	0.25411854425639246	0.5189652751812597	-0.1489687519338454	-0.5467788983282535	-0.0223979470667654	-0.171612052588793	-0.004858802130716655	-0.02392262325241586
ses-20260312_grp-07_run01	T1	P3	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T1_run-01_acq-P3_tobii.tsv.gz	True	49.91016170466452	684.6230229999637	0.8685689201053556	0.0028302840392196503	0.49818737154216786	0.5989217662320159	0.08322584463513388	0.162546859383072	0.15788212614749245	0.5838343981548011	2.708930746799233	3.0198203443512246	0.32422342586907005	6.392214010367899e-05	0.13143107989464442	4.34	1.9829312974521203	2.9428805932629465	3.099993982313874	0.31179704612710885	0.3405071838057976	0.18507462686567167	0.20242903131401813	0.18573784421715187	486	42.59278321115056	0.12842244032838424	True	ok	ok	-0.06691716412171012	-0.172259177616885	-0.05986291468701088	-0.15980699373377757	-0.06587107337427289	-0.15956898460938201	-0.005496621873151253	-0.06855970020278897	0.07792853489668128	0.542865628452287
ses-20260312_grp-07_run01	T1	P4	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T1_run-01_acq-P4_tobii.tsv.gz	True	49.907670930760574	684.6287979999906	0.934211296458882	0.010087087275233381	0.4909856274669507	0.7270705156318525	0.09248695267208948	0.17152487174205877	0.17302525597803275	0.59074409674207	2.829811969933778	3.1188881492387694	0.3234023045262056	4.090677725473361e-06	0.06578870354111799	7.789	3.792875131915084	3.2055090382714306	3.048151495923094	0.46849221871760904	0.264404001336365	0.17108574773192864	0.07758267486098913	0.20404308584936068	200	17.527746473790845	0.13324307000206317	True	ok	ok	-0.1020654654808908	-0.2880465768283714	-0.14688296401363043	-0.31938626959450095	-0.09630444765333745	-0.27677362480235435	-0.006538687981931357	-0.05636641755099979	0.049463517998202144	0.2796599339731819
ses-20260312_grp-07_run01	T2	P1	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T2_run-01_acq-P1_tobii.tsv.gz	True	49.91016170466452	1136.60175599996	0.9365569031166268	0.001355192079655179	0.5809383293493195	0.4742754352613451	0.09850126048644366	0.1587700504799592	0.1560562339832389	0.6514891934406263	3.1278057458011874	3.054438875190574	0.24878918153213853	2.6055979268266334e-05	0.06344309688337324	4.75	2.857639160204522	3.0085958733825344	3.1006989935780696	0.26690779447172824	0.26947640088777564	0.09950994218022846	0.08043646876322097	0.187222450567649	351	18.528917352825857	0.09926835042732951	True	ok	ok	-0.029958299735707516	-0.08332020994819449	-0.06729702079553102	-0.18795315138655203	0.010378978155639818	0.025582215252263407	0.04287260595923115	0.35894837618233344	-0.0847632311516674	-0.42013415419618977
ses-20260312_grp-07_run01	T2	P2	C:\Users\amodica\Downloads\affectai_et_all\bids_release_no_video\sub-01\ses-20260312_grp-07_run01\et\sub-01_ses-20260312_grp-07_run01_task-T2_run-01_acq-P2_tobii.tsv.gz	True	49.91016170466452	1136.602229000011	0.2670638837963616	0.06970297029702971	0.4683661056105611	0.7005673267326733	0.2715928240137998	0.32011316779717774	0.19043043136021848	3.530976642534687	22.452515938033837	2.597649504950495	0.5874967303818174	7.057410914168031e-06	0.7329361162036384	9.667	6.563147218691889	2.570664116296863	2.6159120534958524	0.7907473261341605	0.30488912049043343	0.8387216189536032	0.7917430545762234	0.3835998623774299	0			False	gaze_low_validity;pupil_low_coverage;pupil_left_low_coverage;pupil_right_low_coverage;blink_detection_unreliable	Fewer than 70 % of gaze samples are marked valid; gaze-position and velocity features may be unreliable. | Combined (mean) pupil diameter is missing for more than 30 % of samples; pupil features should be treated with caution. | Left-eye pupil diameter is missing for more than 30 % of samples. | Right-eye pupil diameter is missing for more than 30 % of samples. | Gaze validity is too low (< 70%) to distinguish blinks from tracking failures; blink_count_est, blink_rate_per_min, and blink_duration_mean_s are set to NaN. When gaze_valid is stuck at 1.0 (>= 99%), pupil-NaN transitions are used as a fallback instead of raising this flag.	-0.02790975605367807	-0.07307361341080008	0.012454671392140515	0.0254351447873595	-0.07266075055820131	-0.2666959656046559	-0.0317488291047438	-0.24325808582878922	-0.0112119167725091	-0.05520258978865154
