group_id	task_id	window_index	hmm_state_exp
grp-12	T2	28	3
grp-12	T2	29	3
grp-12	T2	30	3
grp-12	T3	9	4
grp-12	T3	10	4
grp-12	T3	11	4
grp-12	T3	12	4
grp-12	T3	13	4
grp-12	T3	14	4
grp-12	T3	15	4
grp-12	T3	16	4
grp-12	T3	17	4
grp-12	T3	18	4
grp-12	T3	19	4
grp-12	T3	20	4
grp-12	T3	21	4
grp-12	T3	22	4
grp-12	T3	23	4
grp-12	T3	24	3
grp-12	T3	25	3
grp-12	T3	26	3
grp-13	T1	8	1
grp-13	T1	9	1
grp-13	T1	10	1
grp-13	T1	11	1
grp-13	T1	12	1
grp-13	T1	13	1
grp-13	T1	14	2
grp-13	T1	15	0
grp-13	T1	16	0
grp-13	T1	17	0
grp-13	T1	18	0
grp-13	T1	19	0
grp-13	T1	20	3
grp-13	T1	21	3
grp-13	T1	22	3
grp-13	T2	3	2
grp-13	T2	4	3
grp-13	T2	5	1
grp-13	T2	6	1
grp-13	T2	7	1
grp-13	T2	8	2
grp-13	T2	9	2
grp-13	T2	10	2
grp-13	T2	11	2
grp-13	T2	12	2
grp-13	T2	13	2
grp-13	T2	14	2
grp-13	T2	15	2
grp-13	T2	16	2
grp-13	T2	17	2
grp-13	T2	18	2
grp-13	T2	19	4
grp-13	T2	20	4
grp-13	T2	21	4
grp-13	T2	22	4
grp-13	T2	23	4
grp-13	T2	24	3
grp-13	T2	25	3
grp-13	T2	26	3
grp-14	T1	7	1
grp-14	T1	8	1
grp-14	T1	9	1
grp-14	T1	10	1
grp-14	T1	11	2
grp-14	T1	12	2
grp-14	T1	13	4
grp-14	T1	14	4
grp-14	T1	15	4
grp-14	T1	16	4
grp-14	T1	17	4
grp-14	T1	18	4
grp-14	T1	19	4
grp-14	T1	20	4
grp-14	T1	21	4
grp-14	T1	22	3
grp-14	T1	23	3
grp-14	T1	24	3
grp-14	T1	25	3
grp-14	T2	3	2
grp-14	T2	4	3
grp-14	T2	5	3
grp-14	T2	6	1
grp-14	T2	7	0
grp-14	T2	8	0
grp-14	T2	9	0
grp-14	T2	10	2
grp-14	T2	11	0
grp-14	T2	12	2
grp-14	T2	13	2
grp-14	T2	14	2
grp-14	T2	15	0
grp-14	T2	16	0
grp-14	T2	17	0
grp-14	T2	18	0
grp-14	T2	19	0
grp-14	T2	20	0
grp-14	T2	21	0
grp-14	T2	22	0
grp-14	T2	23	2
grp-14	T2	24	0
grp-14	T2	25	0
grp-14	T2	26	0
grp-14	T2	27	0
grp-14	T2	28	3
grp-14	T2	29	3
grp-14	T2	30	3
grp-14	T3	9	4
grp-14	T3	10	4
grp-14	T3	11	4
grp-14	T3	12	4
grp-14	T3	13	4
grp-14	T3	14	4
grp-14	T3	15	4
grp-14	T3	16	4
grp-14	T3	17	4
grp-14	T3	18	4
grp-14	T3	19	4
grp-14	T3	20	4
grp-14	T3	21	4
grp-14	T3	22	3
grp-14	T3	23	3
grp-14	T3	24	3
grp-15	T1	6	4
grp-15	T1	7	4
grp-15	T1	8	4
grp-15	T1	9	4
grp-15	T1	10	4
grp-15	T1	11	4
grp-15	T1	12	4
grp-15	T1	13	4
grp-15	T1	14	4
grp-15	T1	15	4
grp-15	T1	16	4
grp-15	T1	17	4
grp-15	T1	18	4
grp-15	T1	19	4
grp-15	T1	20	4
grp-15	T1	21	3
grp-15	T1	22	3
grp-15	T1	23	3
grp-15	T2	3	3
grp-15	T2	4	3
grp-15	T2	5	4
grp-15	T2	6	4
grp-15	T2	7	4
grp-15	T2	8	4
grp-15	T2	9	4
grp-15	T2	10	4
grp-15	T2	11	4
grp-15	T2	12	4
grp-15	T2	13	4
grp-15	T2	14	4
grp-15	T2	15	4
grp-15	T2	16	4
grp-15	T2	17	4
grp-15	T2	18	4
grp-15	T2	19	4
grp-15	T2	20	4
grp-15	T2	21	4
grp-15	T2	22	4
grp-15	T2	23	4
grp-15	T2	24	4
grp-15	T2	25	4
grp-15	T2	26	3
grp-15	T2	27	3
grp-15	T2	28	3
grp-15	T3	10	1
grp-15	T3	11	1
